metric,class,value
precision,akiec,0.644068
recall,akiec,0.730769
f1,akiec,0.684685
support,akiec,52
precision,bcc,0.606742
recall,bcc,0.760563
f1,bcc,0.675000
support,bcc,71
precision,bkl,0.698718
recall,bkl,0.652695
f1,bkl,0.674923
support,bkl,167
precision,df,0.388889
recall,df,0.700000
f1,df,0.500000
support,df,20
precision,mel,0.564706
recall,mel,0.574850
f1,mel,0.569733
support,mel,167
precision,nv,0.912371
recall,nv,0.881474
f1,nv,0.896657
support,nv,1004
precision,vasc,0.681818
recall,vasc,0.714286
f1,vasc,0.697674
support,vasc,21
precision,macro_avg,0.642473
recall,macro_avg,0.716377
f1,macro_avg,0.671239
precision,weighted_avg,0.816031
recall,weighted_avg,0.806258
f1,weighted_avg,0.809774
accuracy,all,0.806258
sensitivity,akiec,0.730769
specificity,akiec,0.985517
tp,akiec,38
fn,akiec,14
tn,akiec,1429
fp,akiec,21
n_test,all,1502
checkpoint_file,meta,model_best.pth
checkpoint_epoch,meta,22
checkpoint_val_macro_f1,meta,0.727267
split_fingerprint,meta,4b4cc59260945104
dataset,meta,HAM10000
