epoch,train_loss,val_loss,val_macro_f1,best_val_macro_f1,seconds
1,1.41184,1.07257,0.52005,0.52005,15.1
2,0.79346,0.89498,0.59286,0.59286,11.7
3,0.60260,0.85095,0.61279,0.61279,13.3
4,0.52754,0.81582,0.61920,0.61920,12.2
5,0.40894,0.93278,0.63457,0.63457,11.4
6,0.36090,0.86181,0.64703,0.64703,12.4
7,0.33467,0.91699,0.66902,0.66902,14.2
8,0.28588,1.23568,0.65705,0.66902,13.8
9,0.24502,1.04010,0.67878,0.67878,12.8
10,0.21763,1.17725,0.66394,0.67878,13.7
11,0.20380,1.46231,0.67324,0.67878,11.8
12,0.17710,1.25666,0.66135,0.67878,13.0
13,0.17313,1.27496,0.67732,0.67878,12.8
14,0.15661,1.19828,0.68276,0.68276,11.9
15,0.14523,1.29316,0.69191,0.69191,12.8
16,0.16062,1.26299,0.67642,0.69191,14.0
17,0.13318,1.25680,0.66484,0.69191,14.6
18,0.12233,1.79484,0.68417,0.69191,14.1
19,0.11466,1.38420,0.68602,0.69191,12.6
20,0.13326,1.16436,0.72274,0.72274,12.6
21,0.11661,1.24754,0.70996,0.72274,14.3
22,0.09211,1.21794,0.72727,0.72727,14.0
23,0.08416,1.41584,0.70536,0.72727,13.3
24,0.07705,1.56979,0.71303,0.72727,12.5
25,0.12150,1.69900,0.68585,0.72727,12.9
26,0.07463,1.57514,0.70465,0.72727,14.2
27,0.08150,1.56245,0.69920,0.72727,14.2
